drug_name,drug_generic_name,Date of Approval,Company,Treatment for
Livtencity,(maribavir)  Tablets,"November 23, 2021",Takeda Pharmaceutical Company Limited,CMV Infection in Transplant Patients
Fyarro,(sirolimus protein-bound)  Lyophilized Powder for Injectable Suspension,"November 22, 2021","Aadi Bioscience, Inc.",Malignant Perivascular Epithelioid Cell Tumor (PEComa)
Voxzogo,(vosoritide)  Lyophilized Powder for Injection,"November 19, 2021",BioMarin Pharmaceutical Inc.,Achondroplasia
Besremi,(ropeginterferon alfa-2b-njft)  Injection,"November 12, 2021",PharmaEssentia Corporation,Polycythemia Vera
Eprontia,(topiramate)  Oral Solution,"November 5, 2021","Azurity Pharmaceuticals, Inc.","Epilepsy, Migraine Prevention"
Vuity,(pilocarpine hydrochloride)  Ophthalmic Solution,"October 28, 2021",AbbVie Inc.,Presbyopia
Scemblix,(asciminib)  Tablets,"October 29, 2021",Novartis,Chronic Myelogenous Leukemia
Xipere,(triamcinolone acetonide)  Injection,"October 22, 2021","Clearside Biomedical, Inc.","Macular Edema, Uveitis"
Susvimo,(ranibizumab)  Injection for Intravitreal Use via Ocular Implant,"October 25, 2021","Genentech, Inc."
Tyrvaya,(varenicline)  Nasal Spray,"October 15, 2021","Oyster Point Pharma, Inc.",Dry Eye Disease
Seglentis,(celecoxib and tramadol hydrochloride)  Tablets,"October 15, 2021","Esteve Pharmaceuticals, S.A.",Pain
Zimhi,(naloxone hydrochloride)  Injection,"October 15, 2021",Adamis Pharmaceuticals Corporation,Opioid Overdose
Tavneos,(avacopan)  Capsules,"October 7, 2021","ChemoCentryx, Inc.",ANCA-Associated Vasculitis
Rethymic,(allogeneic processed thymus tissue-agdc)  for Surgical Implantation,"October 8, 2021","Enzyvant Therapeutics, Inc.",Congenital Athymia
Livmarli,(maralixibat)  Oral Solution,"September 29, 2021","Mirum Pharmaceuticals, Inc.","Cholestatic Pruritus in Alagille Syndrome, Cholestatic Pruritus in Progressive Familial Intrahepatic Cholestasis"
Qulipta,(atogepant)  Tablets,"September 28, 2021",AbbVie Inc.,Migraine Prevention
Opzelura,(ruxolitinib)  Cream,"September 21, 2021",Incyte,"Atopic Dermatitis, Vitiligo"
Tivdak,(tisotumab vedotin-tftv)  Lyophilized Powder for Injection,"September 20, 2021",Seagen Inc.,Cervical Cancer
Byooviz,(ranibizumab-nuna)  Intravitreal Injection,"September 17, 2021","Samsung Bioepis Co., Ltd.","Macular Degeneration, Macular Edema, Myopic Choroidal Neovascularization"
Exkivity,(mobocertinib)  Capsules,"September 15, 2021",Takeda Pharmaceutical Company Limited,Non-Small Cell Lung Cancer
Trudhesa,(dihydroergotamine mesylate)  Nasal Spray,"September 2, 2021","Impel NeuroPharma, Inc.",Migraine
Invega Hafyera,(paliperidone palmitate)  Extended-Release Injectable Suspension,"August 30, 2021",Janssen Pharmaceutical Companies of Johnson & Johnson,Schizophrenia
Skytrofa,(lonapegsomatropin-tcgd)  for Injection,"August 25, 2021",Ascendis Pharma A/S,Pediatric Growth Hormone Deficiency
Korsuva,(difelikefalin)  Injection,"August 23, 2021","Cara Therapeutics, Inc.",Chronic Kidney Disease-Associated Pruritus
Comirnaty,"(COVID-19 Vaccine, mRNA)  Injection","August 23, 2021",Pfizer Inc.,Prevention of COVID-19
Welireg,(belzutifan)  Tablets,"August 13, 2021",Merck,"Von Hippel-Lindau Syndrome, Renal Cell Carcinoma"
TicoVac,(tick-borne encephalitis vaccine)  Injection,"August 13, 2021",Pfizer Inc.,Tick-Borne Encephalitis Prophylaxis
Nexviazyme,(avalglucosidase alfa-ngpt)  Lyophilized Powder for Injection,"August 6, 2021",Sanofi,Pompe Disease
Saphnelo,(anifrolumab-fnia)  Injection,"July 30, 2021",AstraZeneca,Lupus
Twyneo,(tretinoin and benzoyl peroxide)  Cream,"July 26, 2021","Sol-Gel Technologies, Ltd.",Acne
Bylvay,(odevixibat)  Capsules,"July 20, 2021","Ipsen Biopharmaceuticals, Inc.","Cholestatic Pruritus in Progressive Familial Intrahepatic Cholestasis, Cholestatic Pruritus in Alagille Syndrome"
,(fexinidazole)  Tablets,"July 16, 2021",Drugs for Neglected Diseases Initiative,Trypanosomiasis
Vaxneuvance,(pneumococcal 15-valent conjugate vaccine)  Injection,"July 16, 2021",Merck,Pneumococcal Disease Prophylaxis
Rezurock,(belumosudil)  Tablets,"July 16, 2021","Kadmon Holdings, Inc.",Graft-versus-host disease
Kerendia,(finerenone)  Tablets,"July 9, 2021",Bayer,Chronic Kidney Disease Associated with Type 2 Diabetes
Rylaze,(asparaginase erwinia chrysanthemi (recombinant)-rywn)  Injection,"June 30, 2021",Jazz Pharmaceuticals plc,Acute Lymphoblastic Leukemia
Verkazia,(cyclosporine)  Ophthalmic Emulsion,"June 23, 2021",Santen Inc.,Vernal Keratoconjunctivitis
Soaanz,(torsemide)  Tablets,"June 14, 2021",Sarfez Pharmaceuticals,Edema
Astepro Allergy,(azelastine)  Nasal Spray,"June 17, 2021",Bayer HealthCare LLC,Allergic Rhinitis
Rezipres,(ephedrine hydrochloride)  Injection,"June 14, 2021","Eton Pharmaceuticals, Inc.",Hypotension
Prevnar 20,(pneumococcal 20-valent conjugate vaccine)  Injection,"June 8, 2021",Pfizer Inc.,Pneumococcal Disease Prophylaxis
Aduhelm,(aducanumab-avwa)  Injection,"June 7, 2021",Biogen,Alzheimer's Disease
Tembexa,(brincidofovir)  Tablets and Oral Suspension,"June 4, 2021","Chimerix, Inc.",Smallpox
Ryplazim,"(plasminogen, human-tvmh)  Injection","June 4, 2021",Liminal BioSciences Inc.,Plasminogen Deficiency Type 1
Wegovy,(semaglutide)  Injection,"June 4, 2021",Novo Nordisk,"Weight Loss (Obesity/Overweight), Cardiovascular Risk Reduction"
Brexafemme,(ibrexafungerp)  Tablets,"June 1, 2021","Scynexis, Inc.",Vaginal Yeast Infection
Lybalvi,(olanzapine and samidorphan)  Tablets,"May 28, 2021",Alkermes plc,"Schizophrenia, Bipolar Disorder"
Lumakras,(sotorasib)  Tablets,"May 28, 2021",Amgen Inc.,Non-Small Cell Lung Cancer
Truseltiq,(infigratinib)  Capsules,"May 28, 2021","BridgeBio Pharma, Inc.",Cholangiocarcinoma
Pylarify,(piflufolastat F 18)  Injection,"May 26, 2021","Progenics Pharmaceuticals, Inc.",Positron Emission Tomography Imaging
Myfembree,"(relugolix, estradiol and norethindrone acetate)  Tablets","May 26, 2021",Myovant Sciences,"Uterine Fibroids, Endometriosis"
Camcevi,(leuprolide mesylate)  Injection,"May 26, 2021",Foresee Pharmaceuticals,Prostate Cancer
Rybrevant,(amivantamab-vmjw)  Injection,"May 21, 2021",The Janssen Pharmaceutical Companies of Johnson & Johnson,Non-Small Cell Lung Cancer
Empaveli,(pegcetacoplan)  Injection,"May 14, 2021","Apellis Pharmaceuticals, Inc.",Paroxysmal Nocturnal Hemoglobinuria
Zynrelef,(bupivacaine and meloxicam)  Injection,"May 12, 2021","Heron Therapeutics, Inc.",Postoperative Pain
Kloxxado,(naloxone hydrochloride)  Nasal Spray,"April 30, 2021",Hikma Pharmaceuticals PLC,Opioid Overdose
Zynlonta,(loncastuximab tesirine-lpyl)  Injection,"April 23, 2021",ADC Therapeutics SA,Diffuse Large B-cell Lymphoma
Jemperli,(dostarlimab-gxly)  Injection,"April 22, 2021",GlaxoSmithKline,"Endometrial Cancer, Solid Tumors"
Nextstellis,(drospirenone and estetrol)  Tablets,"April 15, 2021",Mayne Pharma,Birth Control
Qelbree,(viloxazine hydrochloride)  Extended Release Capsules,"April 2, 2021","Supernus Pharmaceuticals, Inc.",Attention Deficit Hyperactivity Disorder (ADHD)
Roszet,(ezetimibe and rosuvastatin)  Tablets,"March 23, 2021","Althera Life Sciences, LLC","High Cholesterol, High Cholesterol, Familial Homozygous"
Abecma,(idecabtagene vicleucel)  Suspension for Intravenous Infusion,"March 26, 2021",Bristol Myers Squibb,Multiple Myeloma
Zegalogue,(dasiglucagon)  Injection,"March 22, 2021",Zealand Pharma A/S,Hypoglycemia
Ponvory,(ponesimod)  Tablets,"March 18, 2021","Janssen Pharmaceuticals, Inc.",Multiple Sclerosis
Kimyrsa,(oritavancin)  for Injection,"March 12, 2021","Melinta Therapeutics, LLC",Skin and Structure Infection
Fotivda,(tivozanib)  Capsules,"March 10, 2021",AVEO Oncology,Renal Cell Carcinoma
Azstarys,(dexmethylphenidate and serdexmethylphenidate)  Capsules,"March 2, 2021","KemPharm, Inc.",Attention Deficit Hyperactivity Disorder (ADHD)
Nulibry,(fosdenopterin)  Injection,"February 26, 2021","BridgeBio Pharma, Inc.",Molybdenum Cofactor Deficiency (MoCD) Type A
Pepaxto,(melphalan flufenamide)  Injection,"February 26, 2021",Oncopeptides AB,Multiple Myeloma
Amondys 45,(casimersen)  Injection,"February 25, 2021","Sarepta Therapeutics, Inc.",Duchenne Muscular Dystrophy
Cosela,(trilaciclib)  for Injection,"February 12, 2021","G1 Therapeutics, Inc.",Small Cell Lung Cancer Myelopreservation Therapy
Evkeeza,(evinacumab-dgnb)  Injection,"February 11, 2021","Regeneron Pharmaceuticals, Inc.","High Cholesterol, Familial Homozygous"
Breyanzi,(lisocabtagene maraleucel)  Suspension for Intravenous Infusion,"February 5, 2021",Bristol-Myers Squibb Company,"Diffuse Large B-Cell Lymphoma, B-Cell Lymphoma, Chronic Lymphocytic Leukemia"
Ukoniq,(umbralisib)  Tablets,"February 5, 2021","TG Therapeutics, Inc.","Marginal Zone Lymphoma, Follicular Lymphoma"
Tepmetko,(tepotinib)  Tablets,"February 3, 2021","EMD Serono, Inc.",Non-Small Cell Lung Cancer
Posimir,(bupivacaine)  Solution for Infiltration Use,"February 1, 2021",Durect Corporation,Post-Surgical Pain
Lupkynis,(voclosporin)  Capsules,"January 22, 2021",Aurinia Pharmaceuticals Inc.,Lupus Nephritis
Cabenuva,(cabotegravir and rilpivirine)  Extended-Release Injectable Suspension ( Co-Packaged),"January 21, 2021",ViiV Healthcare,HIV Infection
Verquvo,(vericiguat)  Tablets,"January 19, 2021",Merck,Heart Failure with Reduced Ejection Fraction (HFrEF)
Astepro Allergy,(azelastine)  Nasal Spray,"June 17, 2021",Bayer HealthCare LLC,Allergic Rhinitis
Thyquidity,(levothyroxine sodium)  Oral Solution,"November 30, 2020",Vertice Pharma
Gemtesa,(vibegron)  Tablets,"December 23, 2020",Urovant Sciences,Overactive Bladder
Ebanga,(ansuvimab-zykl)  Injection,"December 21, 2020","Ridgeback Biotherapeutics, LP.",Zaire Ebolavirus Infection
Orgovyx,(relugolix)  Tablets,"December 18, 2020",Myovant Sciences,Prostate Cancer
Riabni,(rituximab-arrx)  Injection,"December 17, 2020",Amgen,"Non-Hodgkin's Lymphoma, Chronic Lymphocytic Leukemia, Granulomatosis with Polyangiitis, Microscopic Polyangiitis, Rheumatoid Arthritis"
Margenza,(margetuximab-cmkb)  Injection,"December 16, 2020","MacroGenics, Inc.",Breast Cancer
Klisyri,(tirbanibulin)  Ointment,"December 14, 2020","Athenex, Inc.",Actinic Keratosis
Orladeyo,(berotralstat)  Capsules,"December 3, 2020","BioCryst Pharmaceuticals, Inc.",Hereditary Angioedema
Ga 68 PSMA-11 ,Ga 68 PSMA-11 ()  Injection,"December 1, 2020","University of California, San Francisco",Diagnosis and Investigation
Imcivree,(setmelanotide)  Injection,"November 25, 2020","Rhythm Pharmaceuticals, Inc.",Weight Loss (Obesity/Overweight)
Danyelza,(naxitamab-gqgk)  Injection,"November 25, 2020","Y-mAbs Therapeutics, Inc.",Neuroblastoma
Oxlumo,(lumasiran)  Injection,"November 23, 2020","Alnylam Pharmaceuticals, Inc.",Primary Hyperoxaluria
Zokinvy,(lonafarnib)  Capsules,"November 20, 2020","Eiger BioPharmaceuticals, Inc.",Progeria and Progeroid Laminopathies
Sutab,"(sodium sulfate, magnesium sulfate, and potassium chloride)  Tablets","November 10, 2020","Sebela Pharmaceuticals, Inc.",Bowel Preparation
Sesquient,(fosphenytoin sodium)  for Injection,"November 5, 2020","Sedor Pharmaceuticals, LLC",Status Epilepticus
Bronchitol,(mannitol)  Inhalation Powder,"October 30, 2020","Chiesi USA, Inc.",Cystic Fibrosis
Eysuvis,(loteprednol etabonate)  Ophthalmic Suspension,"October 26, 2020","Kala Pharmaceuticals, Inc.",Dry Eye Disease
Veklury,(remdesivir)  Injection,"October 22, 2020","Gilead Sciences, Inc.",COVID-19
Inmazeb,"(atoltivimab, maftivimab, and odesivimab-ebgn)  Injection","October 14, 2020","Regeneron Pharmaceuticals, Inc.",Zaire Ebolavirus infection
Alkindi Sprinkle,(hydrocortisone)  Oral Granules,"September 29, 2020","Eton Pharmaceuticals, Inc.",Adrenocortical Insufficiency
Qdolo,(tramadol hydrochloride)  Oral Solution,"September 1, 2020","Athena Bioscience, LLC",Pain
Detectnet,(copper Cu 64 dotatate)  Injection,"September 3, 2020",RadioMedix Inc.,Positron Emission Tomography Imaging
Gavreto,(pralsetinib)  Capsules,"September 4, 2020","Genentech, Inc.","Non-Small Cell Lung Cancer, Thyroid Cancer"
Onureg,(azacitidine)  Tablets,"September 1, 2020",Bristol Myers Squibb,Acute Myeloid Leukemia
Xaracoll,(bupivacaine hydrochloride)  Implant,"August 28, 2020",Innocoll Holdings Limited,Postsurgical Pain Relief Following Open Inguinal Hernia
Sogroya,(somapacitan-beco)  Injection,"August 28, 2020",Novo Nordisk,"Adult Human Growth Hormone Deficiency, Pediatric Growth Hormone Deficiency"
Winlevi,(clascoterone)  Cream,"August 26, 2020",Cassiopea SpA,Acne
Cystadrops,(cysteamine hydrochloride)  Ophthalmic Solution,"August 19, 2020",Recordati Rare Diseases Inc.,Corneal Cystine Crystal Accumulation
Kesimpta,(ofatumumab)  Injection,"August 20, 2020",Novartis,Multiple Sclerosis
Enspryng,(satralizumab-mwge)  Injection,"August 14, 2020",Genentech,Neuromyelitis Optica Spectrum Disorder
Viltepso,(viltolarsen)  Injection,"August 12, 2020","NS Pharma, Inc.",Duchenne Muscular Dystrophy
Olinvyk,(oliceridine)  Injection  - formerly Olinvo,"August 7, 2020","Trevena, Inc.",Pain
Evrysdi,(risdiplam)  for Oral Solution,"August 7, 2020",Genentech,Spinal Muscular Atrophy
Lampit,(nifurtimox)  Tablets,"August 6, 2020",Bayer,Chagas Disease
Blenrep,(belantamab mafodotin-blmf)  Injection,"August 5, 2020",GlaxoSmithKline plc,Multiple Myeloma
Monjuvi,(tafasitamab-cxix)  for Injection,"July 31, 2020",MorphoSys AG,Diffuse Large B-Cell Lymphoma
Xeglyze,(abametapir)  Topical Lotion,"July 24, 2020",Dr. Reddy’s Laboratories Ltd.,Head Lice
Tecartus,(brexucabtagene autoleucel)  Suspension for Intravenous Infusion  - formerly KTE-X19,"July 24, 2020","Kite, a Gilead Company",Mantle Cell Lymphoma
Breztri Aerosphere,(budesonide/glycopyrrolate/formoterol fumarate)  Metered Dose Inhalation,"July 23, 2020",AstraZeneca,COPD
Xywav,"(calcium, magnesium, potassium, and sodium oxybates)  Oral Solution","July 21, 2020",Jazz Pharmaceuticals plc,Narcolepsy; Idiopathic Hypersomnia
Wynzora,(calcipotriene and betamethasone dipropionate)  Cream,"July 20, 2020",MC2 Therapeutics,Plaque Psoriasis
Upneeq,(oxymetazoline hydrochloride)  Ophthalmic Solution,"July 8, 2020",Osmotica Pharmaceuticals plc,Blepharoptosis
Hulio,(adalimumab-fkjp)  Injection,"July 6, 2020",Mylan Pharmaceuticals Inc.,"Rheumatoid Arthritis, Juvenile Idiopathic Arthritis, Psoriatic Arthritis, Ankylosing Spondylitis, Crohn's Disease, Ulcerative Colitis, Plaque Psoriasis, Hidradenitis Suppurativa, Uveitis"
Inqovi,(decitabine and cedazuridine)  Tablets,"July 7, 2020","Astex Pharmaceuticals, Taiho Oncology, and Otsuka Pharmaceutical",Myelodysplastic Syndrome
Qwo,(collagenase clostridium histolyticum-aaes)  for Injection,"July 6, 2020",Endo International plc,Cellulite
Rukobia,(fostemsavir)  Extended-Release Tablets,"July 2, 2020",ViiV Healthcare,HIV Infection
Byfavo,(remimazolam)  Injection,"July 2, 2020",Cosmo Pharmaceuticals NV,Sedation
Dojolvi,(triheptanoin)  Oral Liquid,"June 30, 2020",Ultragenyx Pharmaceutical Inc.,Long-Chain Fatty Acid Oxidation Disorders
Phesgo,"(pertuzumab, trastuzumab, and hyaluronidase-zzxf)  Injection","June 29, 2020",Genentech,Breast Cancer
Mycapssa,(octreotide)  Delayed-Release Capsules,"June 26, 2020","Chiasma, Inc.",Acromegaly
Fintepla,(fenfluramine)  Oral Solution,"June 25, 2020","Zogenix, Inc.","Dravet Syndrome, Lennox-Gastaut Syndrome"
Gimoti,(metoclopramide)  Nasal Spray,"June 19, 2020","Evoke Pharma, Inc.",Gastroparesis
Zepzelca,(lurbinectedin)  Injection,"June 15, 2020",PharmaMar and Jazz Pharmaceuticals plc,Small Cell Lung Cancer
Lyumjev,(insulin lispro-aabc)  Injection,"June 15, 2020",Eli Lilly and Company,"Diabetes, Type 1, Diabetes, Type 2"
Uplizna,(inebilizumab-cdon)  Injection,"June 11, 2020",Viela Bio,Neuromyelitis Optica Spectrum Disorder (NMOSD)
Semglee,(insulin glargine-yfgn)  Injection,"June 11, 2020",Mylan Pharmaceuticals Inc.,"Diabetes, Type 1, Diabetes, Type 2"
Nyvepria,(pegfilgrastim-apgf)  Injection,"June 10, 2020",Pfizer Inc.,Neutropenia Associated with Chemotherapy
Oriahnn,(elagolix/estradiol/norethindrone acetate and elagolix)  Capsules,"May 29, 2020",AbbVie Inc.,Uterine Leiomyomata
Zilxi,(minocycline)  Topical Foam  - formerly FMX103,"May 28, 2020",Foamix Pharmaceuticals Ltd.,Rosacea
Tauvid,(flortaucipir F 18)  Injection,"May 28, 2020",Eli Lilly and Company,Diagnosis and Investigation
,(artesunate)  for Injection,"May 26, 2020","Amivas (US), LLC",Malaria
Cerianna,(fluoroestradiol F18)  Injection,"May 20, 2020",Zionexa USA,Diagnosis and Investigation
Phexxi,"(lactic acid, citric acid and potassium bitartrate)  Vaginal Gel  - formerly Amphora","May 22, 2020","Evofem, Inc.",Birth Control
Kynmobi,(apomorphine hydrochloride)  Sublingual Film,"May 21, 2020",Sunovion Pharmaceuticals Inc.,Parkinson's Disease
Qinlock,(ripretinib)  Tablets,"May 15, 2020","Deciphera Pharmaceuticals, Inc.",Gastrointestinal Stromal Tumor
Retevmo,(selpercatinib)  Capsules and Tablets,"May 8, 2020",Eli Lilly and Company,"Non-Small Cell Lung Cancer, Thyroid Cancer, Solid Tumors"
Tabrecta,(capmatinib)  Tablets,"May 6, 2020",Novartis,Non-Small Cell Lung Cancer
Elyxyb,(celecoxib)  Oral Solution,"May 5, 2020",Dr. Reddy’s Laboratories Limited,Migraine
Fensolvi,(leuprolide acetate)  Injection,"May 1, 2020","Tolmar Pharmaceuticals, Inc.",Precocious Puberty
Darzalex Faspro,(daratumumab and hyaluronidase-fihj)  Injection,"May 1, 2020",The Janssen Pharmaceutical Companies of Johnson & Johnson,Multiple Myeloma; Light Chain (AL) Amyloidosis
Bafiertam,(monomethyl fumarate)  Delayed-Release Capsules,"April 28, 2020",Banner Life Sciences LLC,Multiple Sclerosis
Ongentys,(opicapone)  Capsules,"April 24, 2020","Neurocrine Biosciences, Inc.",Parkinson's Disease
MenQuadfi,"(meningococcal (groups A, C, Y, W) conjugate vaccine)  Injection","April 23, 2020",Sanofi,Meningococcal Disease Prophylaxis
Trodelvy,(sacituzumab govitecan-hziy)  Injection,"April 22, 2020","Immunomedics, Inc.","Breast Cancer, Urothelial Carcinoma"
Emerphed,(ephedrine sulfate)  Injection,"April 17, 2020","Nexus Pharmaceuticals, Inc.",Hypotension
Pemazyre,(pemigatinib)  Tablets,"April 17, 2020",Incyte Corporation,"Cholangiocarcinoma, Myeloid/Lymphoid Neoplasms"
Tukysa,(tucatinib)  Tablets,"April 17, 2020","Seattle Genetics, Inc.","Breast Cancer, Colorectal Cancer"
Jelmyto,(mitomycin)  for Pyelocalyceal Solution,"April 15, 2020",UroGen Pharma Ltd.,Urothelial Carcinoma
Koselugo,(selumetinib)  Capsules,"April 10, 2020",AstraZeneca and Merck,Neurofibromatosis Type 1
Sevenfact,(coagulation factor VIIa (recombinant)-jncw)  Injection,"April 1, 2020","HEMA Biologics, LLC",Hemophilia A or B with Inhibitors
Zeposia,(ozanimod)  Capsules,"March 25, 2020",Bristol-Myers Squibb Company,"Multiple Sclerosis, Ulcerative Colitis"
Isturisa,(osilodrostat)  Tablets,"March 6, 2020",Novartis Pharmaceuticals Corporation,Cushing's Syndrome
Durysta,(bimatoprost)  Implant,"March 3, 2020",Allergan plc,"Glaucoma, Open Angle, Intraocular Hypertension"
Pizensy,(lactitol)  Powder for Oral Solution,"February 12, 2020","Braintree Laboratories, Inc.",Chronic Idiopathic Constipation
Sarclisa,(isatuximab-irfc)  Injection,"March 2, 2020",Sanofi,Multiple Myeloma
Advil Dual Action,(ibuprofen and acetaminophen)  Tablets,"February 28, 2020",GSK Consumer Healthcare,Pain
Nurtec ODT,(rimegepant)  Orally Disintegrating Tablets (ODT),"February 27, 2020",Biohaven Pharmaceutical Holding Company Ltd.,"<a href=""https://www.drugs.com/condition/migraine.html"">Migraine</a>; <a href=""https://www.drugs.com/condition/migraine-prophylaxis.html"">Migraine Prophylaxis</a>"
Barhemsys,(amisulpride)  Injection,"February 26, 2020",Acacia Pharma,"Nausea/Vomiting, Postoperative"
Nexlizet,(bempedoic acid and ezetimibe)  Tablets,"February 26, 2020",Esperion Therapeutics,"High Cholesterol, Familial Heterozygous"
Fluad Quadrivalent,"(influenza vaccine, adjuvanted)  Injection","February 21, 2020",Seqirus,Influenza Prophylaxis
Vyepti,(eptinezumab-jjmr)  Injection,"February 21, 2020",Lundbeck,Migraine Prevention
